Frequency (Hz),VRG Harmonics
0.0,279.2151
0.032552083333333336,89.751434
0.06510416666666667,94.53158
0.09765625,75.01638
0.13020833333333334,85.92498
0.16276041666666669,115.226715
0.1953125,73.24587
0.22786458333333334,70.269485
0.2604166666666667,70.50235
0.29296875,85.12587
0.32552083333333337,79.192055
0.3580729166666667,68.90007
0.390625,79.19749
0.42317708333333337,83.28603
0.4557291666666667,81.05206
0.48828125000000006,102.08775
0.5208333333333334,95.090096
0.5533854166666667,87.669556
0.5859375,78.81178
0.6184895833333334,95.30903
0.6510416666666667,96.95716
0.68359375,83.84517
0.7161458333333334,94.932556
0.7486979166666667,99.705605
0.78125,101.570206
0.8138020833333334,101.98546
0.8463541666666667,112.1144
0.8789062500000001,105.53768
0.9114583333333334,110.505104
0.9440104166666667,109.622345
0.9765625000000001,136.84944
1.0091145833333335,118.75911
1.0416666666666667,147.80902
1.07421875,120.531944
1.1067708333333335,140.25505
1.1393229166666667,121.53455
1.171875,138.107
1.2044270833333335,155.074
1.2369791666666667,156.93762
1.26953125,178.61382
1.3020833333333335,184.62534
1.3346354166666667,167.87883
1.3671875,209.88441
1.3997395833333335,191.18146
1.4322916666666667,224.10689
1.46484375,239.4655
1.4973958333333335,269.09564
1.5299479166666667,274.16885
1.5625,317.07312
1.5950520833333335,309.86832
1.6276041666666667,375.88184
1.6601562500000002,400.41003
1.6927083333333335,448.44263
1.7252604166666667,502.4309
1.7578125000000002,635.9264
1.7903645833333335,767.1561
1.8229166666666667,921.28705
1.8554687500000002,1225.9471
1.8880208333333335,1873.6427
1.9205729166666667,3860.206
1.9531250000000002,102517.81
1.9856770833333335,3698.1619
2.018229166666667,1852.1433
2.05078125,1272.1561
2.0833333333333335,959.17017
2.115885416666667,769.3296
2.1484375,612.76215
2.1809895833333335,508.3726
2.213541666666667,468.2628
2.24609375,449.7636
2.2786458333333335,379.36807
2.311197916666667,380.79517
2.34375,335.56702
2.3763020833333335,329.80267
2.408854166666667,303.89285
2.44140625,282.88028
2.4739583333333335,264.81863
2.506510416666667,264.3236
2.5390625,229.24915
2.5716145833333335,218.43265
2.604166666666667,212.81963
2.63671875,236.71352
2.6692708333333335,198.31528
2.701822916666667,184.59306
2.734375,189.52187
2.7669270833333335,153.86855
2.799479166666667,189.02014
2.83203125,176.30826
2.8645833333333335,151.1986
2.897135416666667,166.01947
2.9296875,178.95375
2.9622395833333335,139.03508
2.994791666666667,168.6659
3.02734375,153.22487
3.0598958333333335,148.38591
3.092447916666667,126.56167
3.125,140.11418
3.1575520833333335,141.38583
3.190104166666667,148.91415
3.2226562500000004,136.0324
3.2552083333333335,139.01413
3.287760416666667,105.26254
3.3203125000000004,124.562294
3.3528645833333335,135.18007
3.385416666666667,135.4131
3.4179687500000004,138.0096
3.4505208333333335,115.64513
3.483072916666667,117.6517
3.5156250000000004,117.90604
3.5481770833333335,124.96265
3.580729166666667,122.95544
3.6132812500000004,124.055725
3.6458333333333335,110.5674
3.678385416666667,90.19701
3.7109375000000004,140.44646
3.7434895833333335,120.42229
3.776041666666667,113.36485
3.8085937500000004,103.84116
3.8411458333333335,73.8864
3.873697916666667,107.172455
3.9062500000000004,2074.2354
