Frequency (Hz),VAG Harmonics
0.0,9017.74
0.032552083333333336,115.748665
0.06510416666666667,295.38318
0.09765625,643.3927
0.13020833333333334,887.5341
0.16276041666666669,1051.7355
0.1953125,1230.2048
0.22786458333333334,1501.9182
0.2604166666666667,1777.0968
0.29296875,1967.6447
0.32552083333333337,2109.3882
0.3580729166666667,2407.829
0.390625,2694.771
0.42317708333333337,2913.842
0.4557291666666667,3016.6445
0.48828125000000006,3448.4624
0.5208333333333334,3685.2136
0.5533854166666667,3987.5085
0.5859375,4167.2153
0.6184895833333334,4505.0957
0.6510416666666667,4724.146
0.68359375,5047.0127
0.7161458333333334,5354.0254
0.7486979166666667,5855.3115
0.78125,6064.139
0.8138020833333334,6377.7905
0.8463541666666667,6774.009
0.8789062500000001,7170.8413
0.9114583333333334,7710.588
0.9440104166666667,8055.2695
0.9765625000000001,8518.762
1.0091145833333335,8862.476
1.0416666666666667,9545.534
1.07421875,9986.015
1.1067708333333335,10627.859
1.1393229166666667,11233.878
1.171875,11998.632
1.2044270833333335,12532.829
1.2369791666666667,13607.374
1.26953125,14229.749
1.3020833333333335,15242.028
1.3346354166666667,16265.411
1.3671875,17370.021
1.3997395833333335,18864.328
1.4322916666666667,20230.232
1.46484375,21802.336
1.4973958333333335,23690.484
1.5299479166666667,26159.04
1.5625,28357.188
1.5950520833333335,31474.682
1.6276041666666667,34736.695
1.6601562500000002,39545.84
1.6927083333333335,44387.977
1.7252604166666667,51759.324
1.7578125000000002,60266.36
1.7903645833333335,74447.45
1.8229166666666667,92202.42
1.8554687500000002,126656.03
1.8880208333333335,190199.98
1.9205729166666667,395310.9
1.9531250000000002,10491957.0
1.9856770833333335,372645.84
2.018229166666667,189796.81
2.05078125,130485.33
2.0833333333333335,96157.98
2.115885416666667,80312.93
2.1484375,65990.42
2.1809895833333335,57651.04
2.213541666666667,50292.668
2.24609375,45424.18
2.2786458333333335,40722.51
2.311197916666667,38416.75
2.34375,34039.24
2.3763020833333335,32380.617
2.408854166666667,29644.094
2.44140625,28519.252
2.4739583333333335,26907.754
2.506510416666667,26208.748
2.5390625,23069.955
2.5716145833333335,23278.596
2.604166666666667,21241.47
2.63671875,21408.393
2.6692708333333335,20272.512
2.701822916666667,19686.488
2.734375,18284.912
2.7669270833333335,18554.35
2.799479166666667,17381.752
2.83203125,17177.479
2.8645833333333335,16132.683
2.897135416666667,16229.424
2.9296875,14739.288
2.9622395833333335,15458.902
2.994791666666667,14461.85
3.02734375,14669.664
3.0598958333333335,13451.24
3.092447916666667,13960.133
3.125,12883.409
3.1575520833333335,13558.715
3.190104166666667,12402.754
3.2226562500000004,12779.751
3.2552083333333335,11517.139
3.287760416666667,12509.561
3.3203125000000004,11128.288
3.3528645833333335,12176.33
3.385416666666667,10812.488
3.4179687500000004,12033.024
3.4505208333333335,10052.081
3.483072916666667,11411.749
3.5156250000000004,9990.57
3.5481770833333335,10972.358
3.580729166666667,9647.84
3.6132812500000004,10319.143
3.6458333333333335,9186.3
3.678385416666667,10140.511
3.7109375000000004,8895.918
3.7434895833333335,9729.171
3.776041666666667,8398.5
3.8085937500000004,9335.049
3.8411458333333335,8456.96
3.873697916666667,8591.803
3.9062500000000004,6687.82
3.9388020833333335,10530.99
3.971354166666667,8159.4097
4.00390625,9419.674
4.036458333333334,7606.073
4.069010416666667,8905.066
4.1015625,7577.616
4.134114583333334,8386.831
4.166666666666667,7605.083
4.19921875,8402.589
4.231770833333334,7251.138
4.264322916666667,7977.779
4.296875,7070.828
4.329427083333334,8041.9165
4.361979166666667,6901.5244
4.39453125,7760.0806
4.427083333333334,6926.755
4.459635416666667,7628.3984
4.4921875,6738.906
4.524739583333334,7608.5264
4.557291666666667,6476.647
4.58984375,7374.9272
4.622395833333334,6706.777
4.654947916666667,7019.21
4.6875,6574.8867
4.720052083333334,7061.6406
4.752604166666667,6873.2827
4.78515625,6674.841
4.817708333333334,6215.061
4.850260416666667,6340.3936
4.8828125,6304.0635
4.915364583333334,6378.6016
4.947916666666667,5957.556
4.98046875,6407.7773
5.013020833333334,6128.923
5.045572916666667,6241.7056
5.078125,5646.178
5.110677083333334,5966.5645
5.143229166666667,6000.5786
5.17578125,5876.306
5.208333333333334,5513.3154
5.240885416666667,5279.8706
