Frequency (Hz),VBG Harmonics
0.0,9318.043
0.032552083333333336,11623.734
0.06510416666666667,11252.6045
0.09765625,11034.243
0.13020833333333334,11327.985
0.16276041666666669,11284.91
0.1953125,11409.987
0.22786458333333334,11247.102
0.2604166666666667,11472.162
0.29296875,11426.227
0.32552083333333337,11615.12
0.3580729166666667,11523.224
0.390625,11769.7295
0.42317708333333337,11786.828
0.4557291666666667,11939.905
0.48828125000000006,12035.355
0.5208333333333334,12202.249
0.5533854166666667,12309.055
0.5859375,12491.515
0.6184895833333334,12558.098
0.6510416666666667,12883.911
0.68359375,13048.761
0.7161458333333334,13225.677
0.7486979166666667,13406.2
0.78125,13698.254
0.8138020833333334,13976.969
0.8463541666666667,14199.621
0.8789062500000001,14626.012
0.9114583333333334,14934.052
0.9440104166666667,15237.111
0.9765625000000001,15560.95
1.0091145833333335,15882.8125
1.0416666666666667,16368.271
1.07421875,17021.184
1.1067708333333335,17214.055
1.1393229166666667,17851.418
1.171875,18501.98
1.2044270833333335,19230.229
1.2369791666666667,20009.898
1.26953125,20669.877
1.3020833333333335,21629.33
1.3346354166666667,22689.11
1.3671875,23952.059
1.3997395833333335,24917.506
1.4322916666666667,26304.865
1.46484375,28131.404
1.4973958333333335,29696.63
1.5299479166666667,31919.344
1.5625,34182.93
1.5950520833333335,37705.844
1.6276041666666667,40888.83
1.6601562500000002,45335.297
1.6927083333333335,50561.395
1.7252604166666667,57838.227
1.7578125000000002,66629.445
1.7903645833333335,80504.09
1.8229166666666667,99069.73
1.8554687500000002,133559.06
1.8880208333333335,198408.44
1.9205729166666667,406291.72
1.9531250000000002,10660577.0
1.9856770833333335,374935.2
2.018229166666667,188408.42
2.05078125,127931.07
2.0833333333333335,93782.02
2.115885416666667,76733.12
2.1484375,62138.16
2.1809895833333335,53720.33
2.213541666666667,46958.566
2.24609375,41538.254
2.2786458333333335,36918.168
2.311197916666667,34737.332
2.34375,30635.371
2.3763020833333335,29615.516
2.408854166666667,26267.578
2.44140625,25019.416
2.4739583333333335,23753.533
2.506510416666667,23056.033
2.5390625,19554.625
2.5716145833333335,20604.379
2.604166666666667,17655.543
2.63671875,17894.021
2.6692708333333335,15432.344
2.701822916666667,16101.952
2.734375,14903.727
2.7669270833333335,14844.25
2.799479166666667,13722.037
2.83203125,13545.174
2.8645833333333335,12096.609
2.897135416666667,13035.038
2.9296875,10785.424
2.9622395833333335,12117.451
2.994791666666667,10627.756
3.02734375,11748.782
3.0598958333333335,9820.552
3.092447916666667,10901.831
3.125,9171.715
3.1575520833333335,9947.283
3.190104166666667,8826.687
3.2226562500000004,9339.995
3.2552083333333335,7999.023
3.287760416666667,8815.236
3.3203125000000004,7345.699
3.3528645833333335,9024.452
3.385416666666667,7374.5874
3.4179687500000004,8555.747
3.4505208333333335,7026.6206
3.483072916666667,7747.9683
3.5156250000000004,7070.3647
3.5481770833333335,7886.3403
3.580729166666667,6439.3604
3.6132812500000004,7124.03
3.6458333333333335,6180.648
3.678385416666667,7267.079
3.7109375000000004,5961.9688
3.7434895833333335,6591.766
3.776041666666667,5768.668
3.8085937500000004,6446.692
3.8411458333333335,5264.248
3.873697916666667,4951.246
3.9062500000000004,7422.1553
3.9388020833333335,7790.5522
3.971354166666667,5183.504
4.00390625,6774.825
4.036458333333334,5232.2114
4.069010416666667,6117.807
4.1015625,4888.291
4.134114583333334,5762.7837
4.166666666666667,4692.3125
4.19921875,5661.317
4.231770833333334,4928.7417
4.264322916666667,5509.873
4.296875,4603.2046
4.329427083333334,4988.791
4.361979166666667,4458.139
4.39453125,4891.9277
4.427083333333334,4167.523
4.459635416666667,4748.667
4.4921875,3722.758
4.524739583333334,4793.611
4.557291666666667,4361.102
4.58984375,4478.889
4.622395833333334,4133.6367
4.654947916666667,4541.9097
4.6875,4306.2363
4.720052083333334,4410.1475
4.752604166666667,4142.7144
4.78515625,3647.1055
4.817708333333334,3752.3052
4.850260416666667,3968.465
4.8828125,4034.4717
4.915364583333334,3899.6536
4.947916666666667,3802.0798
4.98046875,3923.6196
5.013020833333334,3621.02
5.045572916666667,3305.304
5.078125,3380.112
5.110677083333334,3338.0103
5.143229166666667,3747.369
5.17578125,3733.0625
5.208333333333334,3168.505
5.240885416666667,3996.4587
5.2734375,3491.3064
5.305989583333334,3729.7766
5.338541666666667,3098.57
5.37109375,3357.278
5.403645833333334,3411.0012
5.436197916666667,3573.8538
5.46875,3427.831
5.501302083333334,3711.1184
5.533854166666667,3345.7402
5.56640625,3118.0007
5.598958333333334,3410.365
5.631510416666667,3195.68
5.6640625,2537.059
5.696614583333334,2939.7703
5.729166666666667,2796.024
5.76171875,3116.8728
5.794270833333334,4175.5054
5.826822916666667,5195.3438
5.859375,40443.633
5.891927083333334,6031.275
5.924479166666667,2989.0151
5.95703125,4329.9473
