Frequency (Hz),VCGAUX Harmonics
0.0,0.0
0.032552083333333336,0.0
0.06510416666666667,0.0
0.09765625,0.0
0.13020833333333334,0.0
0.16276041666666669,0.0
0.1953125,0.0
0.22786458333333334,0.0
0.2604166666666667,0.0
0.29296875,0.0
0.32552083333333337,0.0
0.3580729166666667,0.0
0.390625,0.0
0.42317708333333337,0.0
0.4557291666666667,0.0
0.48828125000000006,0.0
0.5208333333333334,0.0
0.5533854166666667,0.0
0.5859375,0.0
0.6184895833333334,0.0
0.6510416666666667,0.0
0.68359375,0.0
0.7161458333333334,0.0
0.7486979166666667,0.0
0.78125,0.0
0.8138020833333334,0.0
0.8463541666666667,0.0
0.8789062500000001,0.0
0.9114583333333334,0.0
0.9440104166666667,0.0
0.9765625000000001,0.0
1.0091145833333335,0.0
1.0416666666666667,0.0
1.07421875,0.0
1.1067708333333335,0.0
1.1393229166666667,0.0
1.171875,0.0
1.2044270833333335,0.0
1.2369791666666667,0.0
1.26953125,0.0
1.3020833333333335,0.0
1.3346354166666667,0.0
1.3671875,0.0
1.3997395833333335,0.0
1.4322916666666667,0.0
1.46484375,0.0
1.4973958333333335,0.0
1.5299479166666667,0.0
1.5625,0.0
1.5950520833333335,0.0
1.6276041666666667,0.0
1.6601562500000002,0.0
1.6927083333333335,0.0
1.7252604166666667,0.0
1.7578125000000002,0.0
1.7903645833333335,0.0
1.8229166666666667,0.0
1.8554687500000002,0.0
1.8880208333333335,0.0
1.9205729166666667,0.0
1.9531250000000002,0.0
1.9856770833333335,0.0
2.018229166666667,0.0
2.05078125,0.0
2.0833333333333335,0.0
2.115885416666667,0.0
2.1484375,0.0
2.1809895833333335,0.0
2.213541666666667,0.0
2.24609375,0.0
2.2786458333333335,0.0
2.311197916666667,0.0
2.34375,0.0
2.3763020833333335,0.0
2.408854166666667,0.0
2.44140625,0.0
2.4739583333333335,0.0
2.506510416666667,0.0
2.5390625,0.0
2.5716145833333335,0.0
2.604166666666667,0.0
2.63671875,0.0
2.6692708333333335,0.0
2.701822916666667,0.0
2.734375,0.0
2.7669270833333335,0.0
2.799479166666667,0.0
2.83203125,0.0
2.8645833333333335,0.0
2.897135416666667,0.0
2.9296875,0.0
2.9622395833333335,0.0
2.994791666666667,0.0
3.02734375,0.0
3.0598958333333335,0.0
3.092447916666667,0.0
3.125,0.0
3.1575520833333335,0.0
3.190104166666667,0.0
3.2226562500000004,0.0
3.2552083333333335,0.0
3.287760416666667,0.0
3.3203125000000004,0.0
3.3528645833333335,0.0
3.385416666666667,0.0
3.4179687500000004,0.0
3.4505208333333335,0.0
3.483072916666667,0.0
3.5156250000000004,0.0
3.5481770833333335,0.0
3.580729166666667,0.0
3.6132812500000004,0.0
3.6458333333333335,0.0
3.678385416666667,0.0
3.7109375000000004,0.0
3.7434895833333335,0.0
3.776041666666667,0.0
3.8085937500000004,0.0
3.8411458333333335,0.0
3.873697916666667,0.0
3.9062500000000004,0.0
3.9388020833333335,0.0
3.971354166666667,0.0
4.00390625,0.0
4.036458333333334,0.0
4.069010416666667,0.0
4.1015625,0.0
4.134114583333334,0.0
4.166666666666667,0.0
4.19921875,0.0
4.231770833333334,0.0
4.264322916666667,0.0
4.296875,0.0
4.329427083333334,0.0
4.361979166666667,0.0
4.39453125,0.0
4.427083333333334,0.0
4.459635416666667,0.0
4.4921875,0.0
4.524739583333334,0.0
4.557291666666667,0.0
4.58984375,0.0
4.622395833333334,0.0
4.654947916666667,0.0
4.6875,0.0
4.720052083333334,0.0
4.752604166666667,0.0
4.78515625,0.0
4.817708333333334,0.0
4.850260416666667,0.0
4.8828125,0.0
4.915364583333334,0.0
4.947916666666667,0.0
4.98046875,0.0
5.013020833333334,0.0
5.045572916666667,0.0
5.078125,0.0
5.110677083333334,0.0
5.143229166666667,0.0
5.17578125,0.0
5.208333333333334,0.0
5.240885416666667,0.0
5.2734375,0.0
5.305989583333334,0.0
5.338541666666667,0.0
5.37109375,0.0
5.403645833333334,0.0
5.436197916666667,0.0
5.46875,0.0
5.501302083333334,0.0
5.533854166666667,0.0
5.56640625,0.0
5.598958333333334,0.0
5.631510416666667,0.0
5.6640625,0.0
5.696614583333334,0.0
5.729166666666667,0.0
5.76171875,0.0
5.794270833333334,0.0
5.826822916666667,0.0
5.859375,0.0
5.891927083333334,0.0
